playerShort,height,weight,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,meanIAT,nIAT,seIAT,meanExp,nExp,seExp,position,club,leagueCountry,rater,firstName
ivan-perisic,187.0,80.0,249,123,59,67,67,28,3,0,0.3541155167566157,5628.041666666667,0.0002795888674767636,0.5166351925017529,5852.25,0.0012788908313798315,0,16,2,0,363
ivan-rakitic,184.0,75.0,390,202,84,104,70,41,2,0,0.35528104558411533,4890.284552845528,0.0003955371450302846,0.5207836024719509,5097.79674796748,0.0018089533629230502,0,75,3,0,363
ivan-santini,190.0,84.0,131,46,37,48,43,20,0,0,0.35239677662668734,3393.5671641791046,0.0005002822540416535,0.44859759173870506,3502.4776119402986,0.002221158577579567,2,72,2,0,363
ivica-olic,183.0,85.0,383,204,92,87,122,26,0,0,0.3530348108587952,5883.108527131783,0.000338322510082012,0.4877879923231745,6128.170542635659,0.001554308458584517,8,90,2,0,364
ivo-ilicevic,174.0,63.0,246,99,55,92,43,25,1,2,0.3444771067938511,6611.659340659341,0.00020910012377046524,0.39960882389104874,6808.2967032967035,0.0010554825467811973,7,38,2,0,365
ja-cheol-koo,183.0,75.0,155,69,36,50,26,19,0,0,0.3449376924168001,4484.742424242424,0.0010561170949839266,0.39385413858729984,4639.484848484848,0.005205128169805566,3,28,2,0,366
jack-robinson_2,168.0,64.0,69,24,16,29,0,10,1,2,0.33388023738097483,35195.354166666664,0.00011998072855299739,0.38328237630123146,36859.6875,0.0005192882542967471,6,45,0,0,367
jack-wilshere,170.0,65.0,165,93,28,44,11,25,1,1,0.3435844577400393,19566.685185185186,0.00038666154447268466,0.446713016144949,20492.90740740741,0.0017360332967952476,0,6,0,0,367
jacopo-sala,185.0,72.0,46,16,9,21,4,6,0,0,0.3636990130407907,4517.972972972973,0.00031387728122008677,0.4815079635465301,4680.810810810811,0.0015326117286281837,10,38,2,0,368
jaime_11,188.0,80.0,99,44,28,27,0,7,0,1,0.3698935941871719,1785.0,0.0002294896408664641,0.5882973115445439,1897.0,0.00100164730649311,5,69,3,0,369
jaime_5,176.0,74.0,123,29,26,68,7,19,2,1,0.370723941263277,1623.861111111111,0.000282268472490302,0.5213191174837302,1729.2777777777778,0.001256082017868163,7,37,3,0,369
jake-livermore,180.0,77.0,139,58,21,60,6,18,0,0,0.3360492258311089,33977.338983050846,0.0001895731273115796,0.4218213862588348,35581.83050847457,0.0009091000030121945,3,83,0,0,370
